

Manual scan of 1-800-388-28xx
Scanned by: Jamie Faith 
Key Pulse - Http://Fonez.8k.com

legend: ro=ring out ... vms=voicemail system ... 
        cbcad=cannot be completed as dialed.
        oor=out of reach ...  vo=voice (someone picked up)

1-800-388-2801            ro
1-800-388-2802            vms
1-800-388-2803            spanish line (no habla engles)
1-800-388-2804            cbcad
1-800-388-2805            beep, beep
1-800-388-2806            enter 4 digit pin (calling card)
1-800-388-2807            cbcad
1-800-388-2808            recording
1-800-388-2809            busy
1-800-388-2810            oor
1-800-388-2811            reorder
1-800-388-2812            vms
1-800-388-2813            fax
1-800-388-2814            vms
1-800-388-2815            truck driving school vms
1-800-388-2816            cbcad
1-800-388-2817            711 not in service
1-800-388-2818            oor
1-800-388-2819            reorder
1-800-388-2820            millenium somthing... (AUDix)
1-800-388-2821            ad.. the number for the talk line.....
1-800-388-2822            vo
1-800-388-2823            recording
1-800-388-2824            oor
1-800-388-2825            gay phone sex line
1-800-388-2826            oor
1-800-388-2827            ad.. the number for the talk line.....
1-800-388-2828            cbcad
1-800-388-2829            some answering service
1-800-388-2830            non-working 800 #
1-800-388-2831            silent (check later on)
1-800-388-2832            not in serv1ce
1-800-388-2833            vo
1-800-388-2834            vo
1-800-388-2835            oor
1-800-388-2836            new service
1-800-388-2837            cbcad
1-800-388-2838            legions - phonemails system
1-800-388-2839            oor
1-800-388-2840            busy
1-800-388-2841            matrix direct insurance co. Meridian mail 
1-800-388-2842            vmb
1-800-388-2843            16-4
1-800-388-2844            personal assistance vms
1-800-388-2845            reorder
1-800-388-2846            answering machine... am
1-800-388-2847            terminex (automated)
1-800-388-2848            am
1-800-388-2849            vmb
1-800-388-2850            busy
1-800-388-2851            oor
1-800-388-2852            enter authorization code
1-800-388-2853            vo
1-800-388-2854            discover card financial services (automated)
1-800-388-2855            automated system
1-800-388-2856            16-4
1-800-388-2857            nis
1-800-388-2858            ro
1-800-388-2859            busy
1-800-388-2860            oor
1-800-388-2861            vo
1-800-388-2862            dis
1-800-388-2863            vo
1-800-388-2864            enter 4 digit pin (9999 works)
1-800-388-2865            electro-fuel
1-800-388-2866            vms
1-800-388-2867            no longer in service
1-800-388-2868            vms
1-800-388-2869            oor
1-800-388-2870            reorder
1-800-388-2871            vo
1-800-388-2872            reorder
1-800-388-2873            ro
1-800-388-2874            pilgrim telephone - phonesex
1-800-388-2875            cbcad
1-800-388-2876            oor
1-800-388-2877            nis
1-800-388-2878            call did not go through
1-800-388-2879            oor
1-800-388-2880            oor
1-800-388-2881            oor
1-800-388-2882            vo
1-800-388-2883            state of texas vms
1-800-388-2884            vms
1-800-388-2885            ro
1-800-388-2886            roadside assistance
1-800-388-2887            super cuts job line
1-800-388-2888            vms
1-800-388-2889            meridian mail
1-800-388-2890            vms
1-800-388-2891            cbcad
1-800-388-2892            vo
1-800-388-2893            vo
1-800-388-2894            vmb
1-800-388-2895            dis
1-800-388-2896            dis
1-800-388-2897            vo
1-800-388-2898            nextel networks (automated)
1-800-388-2899            vo


